text,label
"Great job breaking everything again",sarcasm
"Oh yeah you're absolutely the expert here",sarcasm
"Wow what a surprise you got it wrong again",sarcasm
"Oh brilliant just what we needed",sarcasm
"Yeah that's totally a good plan",sarcasm
"Sure because you always know best",sarcasm
"Oh fantastic another masterpiece",sarcasm
"Wow you really outdid yourself this time",sarcasm
"Great just great",sarcasm
"Oh yes I'm sure that'll work out perfectly",sarcasm
"Because that worked SO well last time",sarcasm
"Oh wow what an amazing contribution",sarcasm
"Sure you're definitely the smartest person in the room",sarcasm
"Oh great another one of your brilliant ideas",sarcasm
"Wow you've really thought this through",sarcasm
"Yeah I totally believe that",sarcasm
"Oh absolutely you're so reliable",sarcasm
"Sure that sounds like a flawless plan",sarcasm
"Oh yes clearly you're the expert",sarcasm
"Great you've done it again",sarcasm
"Oh wow what a shock",sarcasm
"Yeah right like that'll ever happen",sarcasm
"Oh sure because you've been SO helpful",sarcasm
"Wow what an original thought",sarcasm
"Yeah I'm sure you put a lot of thought into that",sarcasm
"Oh wonderful this is exactly what I needed",sarcasm
"Wow you're just full of great ideas today",sarcasm
"Oh yes clearly this is the best approach",sarcasm
"Sure that makes total sense",sarcasm
"Oh right because you're always so prepared",sarcasm
"Wow good job noticing that really sharp",sarcasm
"Oh perfect I'm so glad you brought that up",sarcasm
"Yeah because your judgment is always spot on",sarcasm
"Oh absolutely this is definitely going to go well",sarcasm
"Sure let the real experts handle it",sarcasm
"Wow never seen that happen before",sarcasm
"Oh great another delay just what we needed",sarcasm
"Yeah I'm sure they'll appreciate your insight",sarcasm
"Oh wonderful everything is under control",sarcasm
"Sure that's not a problem at all",sarcasm
"Wow you've really saved the day",sarcasm
"Oh absolutely this is fine everything is fine",sarcasm
"Yeah because this is going so well",sarcasm
"Oh great another groundbreaking idea",sarcasm
"Sure you're clearly the most qualified",sarcasm
"Wow that was so well thought out",sarcasm
"Oh yes you're so dependable",sarcasm
"Yeah totally that makes perfect sense",sarcasm
"Oh wonderful idea it's not like that failed before",sarcasm
"Sure because your track record is flawless",sarcasm
"Wow what an unexpected turn of events",sarcasm
"Oh right I forgot how infallible you are",sarcasm
"Yeah I'm sure this time will be different",sarcasm
"Oh great that's just perfect timing",sarcasm
"Sure I'll just hold my breath",sarcasm
"Wow who could have seen that coming",sarcasm
"Oh absolutely you've really thought of everything",sarcasm
"Yeah of course you always do",sarcasm
"Oh sure it must be everyone else's fault",sarcasm
"Wow another flawless execution",sarcasm
"Oh I'm sure you know best",sarcasm
"Yeah right like anyone believes that",sarcasm
"Oh wonderful I love having my time wasted",sarcasm
"Sure because that's a totally rational decision",sarcasm
"Wow it's almost impressive how wrong that is",sarcasm
"Oh yes because you're always on top of things",sarcasm
"Yeah that's definitely your best work",sarcasm
"Oh great can't wait to clean this up",sarcasm
"Sure because nobody else has thought of that",sarcasm
"Wow what a revolutionary idea",sarcasm
"Oh right because nothing could go wrong",sarcasm
"Yeah totally worth the effort",sarcasm
"Oh I'm so glad you finally contributed",sarcasm
"Sure blame it on everyone else",sarcasm
"Wow really impressed with that logic",sarcasm
"Oh yes because that's how it works",sarcasm
"Yeah I totally agree with that nonsense",sarcasm
"Oh absolutely no one could have done better",sarcasm
"Sure because you're always so consistent",sarcasm
"I hope something terrible happens to you",harmful
"You deserve to suffer",harmful
"People like you are a disease",harmful
"You should be locked up",harmful
"You make me sick",harmful
"You're a disgusting human being",harmful
"I wish you would just disappear",harmful
"You deserve everything bad that comes to you",harmful
"You're a threat to society",harmful
"I hope you fail miserably",harmful
"You're a cancer on this community",harmful
"You should be ashamed to exist",harmful
"You're a menace to everyone around you",harmful
"People like you ruin everything",harmful
"You're beyond redemption",harmful
"I hope karma destroys you",harmful
"You're a stain on humanity",harmful
"You deserve to be alone forever",harmful
"You're toxic and should be removed",harmful
"I can't believe someone like you exists",harmful
"You're a complete monster",harmful
"You're poisoning everything around you",harmful
"You're a disgrace to your family",harmful
"You're why everything is broken",harmful
"You should be banned from society",harmful
"You're a danger to everyone around you",harmful
"You deserve nothing good in life",harmful
"You're a parasite",harmful
"You're the reason things can't get better",harmful
"I genuinely hate everything about you",harmful
"You deserve nothing but misery",harmful
"You're pure evil",harmful
"You're a blight on this world",harmful
"I hope you never find happiness",harmful
"You're a vile person",harmful
"You make the world worse just by existing",harmful
"You're a plague",harmful
"You're the most reprehensible person I know",harmful
"You deserve all the pain coming to you",harmful
"People like you shouldn't be allowed to speak",harmful
"You're worthless to everyone around you",harmful
"You're beyond fixing",harmful
"I hope something painful happens to you",harmful
"You're an abomination",harmful
"You're rotting from the inside",harmful
"You're the scum of the earth",harmful
"You're corrupting everything you touch",harmful
"You're a leech on society",harmful
"You're what's wrong with the world",harmful
"You deserve to be humiliated",harmful
"You're the most despicable person alive",harmful
"You're a curse to everyone who knows you",harmful
"I genuinely despise everything you stand for",harmful
"You're a wretched excuse for a person",harmful
"You bring nothing but destruction",harmful
"You're a disease spreading through this community",harmful
"You deserve to be exposed for what you are",harmful
"You're so destructive it's unbelievable",harmful
"You're irredeemably broken",harmful
"You're ruining lives around you",harmful
"You're a walking disaster",harmful
"You make everything worse wherever you go",harmful
"You're fundamentally corrupt",harmful
"You're toxic to the core",harmful
"I hope you lose everything",harmful
"You're a human tragedy",harmful
"You're a burden on civilization",harmful
"You've caused so much damage already",harmful
"You're a catastrophe waiting to happen",harmful
"I hate you and everything you represent",harmful
"You're genuinely the worst kind of person",harmful
"You deserve absolutely nothing",harmful
"You're the source of all problems here",harmful
"You're a walking catastrophe",harmful
"You're unredeemably awful",harmful
"I hope the worst finds you",harmful
"You're everything wrong with society",harmful
"You should be removed from this space",harmful
"You're spreading poison wherever you go",harmful
"You're a wrecking ball to everyone around you",harmful
"Nice work!",safe
"I appreciate your effort on this",safe
"Great job keep it up",safe
"This looks really good",safe
"Well done I'm impressed",safe
"You've made a lot of progress",safe
"Thank you for your hard work",safe
"This is a solid contribution",safe
"I think this is really well done",safe
"You should be proud of this",safe
"This is coming along nicely",safe
"Really appreciate your input",safe
"This is excellent work",safe
"I love the direction you're taking this",safe
"You've really nailed it",safe
"This is looking great",safe
"I think you did a fantastic job here",safe
"Your effort really shows",safe
"This is a great improvement",safe
"I can see how much thought went into this",safe
"This is really impressive",safe
"You're doing a great job",safe
"I really like this approach",safe
"This is very well thought out",safe
"I appreciate you taking the time",safe
"Good work this is solid",safe
"This is a nice piece of work",safe
"You've outdone yourself",safe
"This is exactly what we needed",safe
"Really good effort here",safe
"I like what you've done with this",safe
"This is genuinely impressive",safe
"You've shown a lot of skill here",safe
"I'm really happy with this result",safe
"This is better than I expected",safe
"Your work speaks for itself",safe
"This is a meaningful contribution",safe
"I can see the care you put into this",safe
"This is thoughtfully done",safe
"You handled this really well",safe
"This is a great start",safe
"I think you've got something great here",safe
"Nice job you should feel good about this",safe
"This shows real dedication",safe
"You've been very thorough here",safe
"This is a really strong piece of work",safe
"I'm impressed by the quality here",safe
"You've managed this really well",safe
"This is a step in the right direction",safe
"Very well done I'm pleased",safe
"This shows a lot of maturity in your approach",safe
"I think this is a great piece of thinking",safe
"You've done an excellent job here",safe
"This is really clear and well structured",safe
"I love how you've approached this",safe
"This is just what was needed",safe
"You've clearly put a lot into this",safe
"This is a great result",safe
"Really good thinking here",safe
"I think this is really solid work",safe
"You should feel proud of this",safe
"This is a well reasoned approach",safe
"I appreciate the thought behind this",safe
"This is thorough and well executed",safe
"You've done a wonderful job",safe
"This looks great well done",safe
"I think this is a really strong contribution",safe
"You've taken this to a new level",safe
"This is a thoughtful response",safe
"I can see you've worked hard on this",safe
"This is top notch work",safe
"You've really risen to the challenge",safe
"This is a great example of quality work",safe
"I'm genuinely impressed",safe
"You're handling this brilliantly",safe
"This is a big improvement",safe
"You've done really well here",safe
"The meeting is scheduled for Monday",safe
"Please review the attached document",safe
"Let me know if you need any help",safe
"The report looks accurate and complete",safe
"I'll follow up with more details tomorrow",safe
